2015.04.03-2015.06.02线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
乾园1号楼-乾园核心,160.6,40,120.6
乾园4号楼-乾园核心,131.9,33.2,98.7
嘉园3号楼-嘉园核心,118.6,55.6,63
景华-校园核心,85.2,40.4,44.8
周山-校园核心,67.7,45,22.7
网络管理软件线路流量统计表2017.5.5-2017.7.4
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普流控,7497.4,2158.3,5339.1
城市热点-校园核心,7421.3,2267.7,5153.6
M6000-迪普防火墙,7266.2,2121.3,5144.9
乾园-校园核心,2602.9,667.4,1935.5
菁园-校园核心,2132,630.6,1501.4
嘉园-校园核心,1510.8,624.1,886.7
德园-校园核心,478.3,133,345.3
西苑-校园核心,405.6,189.6,216
乾园10号楼-乾园核心,396.1,96.7,299.4
乾园5号楼-乾园核心,389.9,96,293.9
乾园6号楼-乾园核心,364.6,270.2,94.4
图书馆汇聚-校园核心,291.9,56.8,235.1
乾园8号楼-乾园核心,318,90.7,227.3
乾园9号楼-乾园核心,348.2,91.5,256.7
乾园7号楼-乾园核心,270.9,75.8,195.1
工科-校园核心,260.6,123.8,136.8
M6000-教育网NAT,245.7,41.5,204.2
乾园2号楼-乾园核心,188,41.7,146.3
乾园1号楼-乾园核心,152.4,32.4,120
乾园4号楼-乾园核心,143.4,37.4,106
嘉园2号楼-嘉园核心,170.4,52.4,118
嘉园3号楼-嘉园核心,148.9,57,91.9
景华-校园核心,39.5,17.5,22
周山-校园核心,39.9,15.1,24.8
